SRA Accession,species,Data type
SRR18506295,Marchantia polymorpha,RNA-seq
SRR19401946,Marchantia polymorpha,RNA-seq
SRR19401950,Marchantia polymorpha,RNA-seq
SRR20184563,Marchantia polymorpha,RNA-seq
SRR20184564,Marchantia polymorpha,RNA-seq
SRR20184568,Marchantia polymorpha,RNA-seq
SRR20184573,Marchantia polymorpha,RNA-seq
SRR20184574,Marchantia polymorpha,RNA-seq
SRR20184577,Marchantia polymorpha,RNA-seq
SRR20184578,Marchantia polymorpha,RNA-seq
SRR20184580,Marchantia polymorpha,RNA-seq
SRR20184583,Marchantia polymorpha,RNA-seq
SRR20184584,Marchantia polymorpha,RNA-seq
SRR20184585,Marchantia polymorpha,RNA-seq
SRR20184588,Marchantia polymorpha,RNA-seq
SRR20184589,Marchantia polymorpha,RNA-seq
SRR20184592,Marchantia polymorpha,RNA-seq
SRR20281168,Marchantia polymorpha,RNA-seq
SRR20281174,Marchantia polymorpha,RNA-seq
SRR20281175,Marchantia polymorpha,RNA-seq
SRR20281186,Marchantia polymorpha,RNA-seq
SRR20309019,Marchantia polymorpha,RNA-seq
SRR20309020,Marchantia polymorpha,RNA-seq
SRR20309021,Marchantia polymorpha,RNA-seq
SRR20309358,Marchantia polymorpha,RNA-seq
SRR20309360,Marchantia polymorpha,RNA-seq
SRR20309362,Marchantia polymorpha,RNA-seq
SRR20309363,Marchantia polymorpha,RNA-seq
SRR20309364,Marchantia polymorpha,RNA-seq
SRR20309367,Marchantia polymorpha,RNA-seq
SRR20309368,Marchantia polymorpha,RNA-seq
SRR20309369,Marchantia polymorpha,RNA-seq
SRR20309370,Marchantia polymorpha,RNA-seq
SRR20309372,Marchantia polymorpha,RNA-seq
SRR20309378,Marchantia polymorpha,RNA-seq
SRR20309379,Marchantia polymorpha,RNA-seq
SRR20309380,Marchantia polymorpha,RNA-seq
SRR20309381,Marchantia polymorpha,RNA-seq
SRR20309385,Marchantia polymorpha,RNA-seq
SRR20309388,Marchantia polymorpha,RNA-seq
SRR20309389,Marchantia polymorpha,RNA-seq
SRR20309390,Marchantia polymorpha,RNA-seq
SRR20309391,Marchantia polymorpha,RNA-seq
SRR20309393,Marchantia polymorpha,RNA-seq
SRR21019294,Marchantia polymorpha,RNA-seq
SRR21019295,Marchantia polymorpha,RNA-seq
SRR21314008,Marchantia polymorpha,RNA-seq
SRR21314010,Marchantia polymorpha,RNA-seq
SRR21314011,Marchantia polymorpha,RNA-seq
SRR21314015,Marchantia polymorpha,RNA-seq
SRR21314021,Marchantia polymorpha,RNA-seq
SRR21314022,Marchantia polymorpha,RNA-seq
SRR21314023,Marchantia polymorpha,RNA-seq
SRR21314027,Marchantia polymorpha,RNA-seq
SRR21314028,Marchantia polymorpha,RNA-seq
SRR21314029,Marchantia polymorpha,RNA-seq
SRR21314031,Marchantia polymorpha,RNA-seq
SRR21314032,Marchantia polymorpha,RNA-seq
SRR21314034,Marchantia polymorpha,RNA-seq
SRR21314035,Marchantia polymorpha,RNA-seq
SRR21314036,Marchantia polymorpha,RNA-seq
SRR21314037,Marchantia polymorpha,RNA-seq
SRR21314039,Marchantia polymorpha,RNA-seq
SRR21314040,Marchantia polymorpha,RNA-seq
SRR21314044,Marchantia polymorpha,RNA-seq
SRR21314045,Marchantia polymorpha,RNA-seq
SRR21314046,Marchantia polymorpha,RNA-seq
SRR21314047,Marchantia polymorpha,RNA-seq
SRR21314048,Marchantia polymorpha,RNA-seq
SRR21314058,Marchantia polymorpha,RNA-seq
SRR21314060,Marchantia polymorpha,RNA-seq
SRR21314061,Marchantia polymorpha,RNA-seq
SRR21314064,Marchantia polymorpha,RNA-seq
SRR21314067,Marchantia polymorpha,RNA-seq
SRR21314068,Marchantia polymorpha,RNA-seq
SRR21314069,Marchantia polymorpha,RNA-seq
SRR21314077,Marchantia polymorpha,RNA-seq
SRR21314081,Marchantia polymorpha,RNA-seq
SRR21314082,Marchantia polymorpha,RNA-seq
SRR21314089,Marchantia polymorpha,RNA-seq
SRR21314090,Marchantia polymorpha,RNA-seq
SRR21314091,Marchantia polymorpha,RNA-seq
SRR21314093,Marchantia polymorpha,RNA-seq
SRR21314098,Marchantia polymorpha,RNA-seq
SRR21314100,Marchantia polymorpha,RNA-seq
SRR21314101,Marchantia polymorpha,RNA-seq
SRR21314103,Marchantia polymorpha,RNA-seq
SRR21314104,Marchantia polymorpha,RNA-seq
SRR21314106,Marchantia polymorpha,RNA-seq
SRR21314107,Marchantia polymorpha,RNA-seq
SRR21314108,Marchantia polymorpha,RNA-seq
SRR21314109,Marchantia polymorpha,RNA-seq
SRR21314111,Marchantia polymorpha,RNA-seq
SRR21314112,Marchantia polymorpha,RNA-seq
SRR21314113,Marchantia polymorpha,RNA-seq
SRR21314115,Marchantia polymorpha,RNA-seq
SRR21314120,Marchantia polymorpha,RNA-seq
SRR21314123,Marchantia polymorpha,RNA-seq
SRR21314124,Marchantia polymorpha,RNA-seq
SRR21314126,Marchantia polymorpha,RNA-seq
SRR21314130,Marchantia polymorpha,RNA-seq
SRR21314131,Marchantia polymorpha,RNA-seq
SRR21314132,Marchantia polymorpha,RNA-seq
SRR21314133,Marchantia polymorpha,RNA-seq
SRR21314136,Marchantia polymorpha,RNA-seq
SRR21314137,Marchantia polymorpha,RNA-seq
SRR21314140,Marchantia polymorpha,RNA-seq
SRR21314141,Marchantia polymorpha,RNA-seq
SRR21314148,Marchantia polymorpha,RNA-seq
SRR21314149,Marchantia polymorpha,RNA-seq
SRR21314150,Marchantia polymorpha,RNA-seq
SRR21314151,Marchantia polymorpha,RNA-seq
SRR21314153,Marchantia polymorpha,RNA-seq
SRR21314155,Marchantia polymorpha,RNA-seq
SRR21314160,Marchantia polymorpha,RNA-seq
SRR21314161,Marchantia polymorpha,RNA-seq
SRR21314162,Marchantia polymorpha,RNA-seq
SRR21314163,Marchantia polymorpha,RNA-seq
SRR21314164,Marchantia polymorpha,RNA-seq
SRR21314169,Marchantia polymorpha,RNA-seq
SRR21314170,Marchantia polymorpha,RNA-seq
SRR21314171,Marchantia polymorpha,RNA-seq
SRR21314173,Marchantia polymorpha,RNA-seq
SRR21314174,Marchantia polymorpha,RNA-seq
SRR21314175,Marchantia polymorpha,RNA-seq
SRR21314176,Marchantia polymorpha,RNA-seq
SRR21314180,Marchantia polymorpha,RNA-seq
SRR21314181,Marchantia polymorpha,RNA-seq
SRR21314189,Marchantia polymorpha,RNA-seq
SRR21314190,Marchantia polymorpha,RNA-seq
SRR21314191,Marchantia polymorpha,RNA-seq
SRR21314192,Marchantia polymorpha,RNA-seq
SRR21314193,Marchantia polymorpha,RNA-seq
SRR21314200,Marchantia polymorpha,RNA-seq
SRR21314201,Marchantia polymorpha,RNA-seq
SRR21314202,Marchantia polymorpha,RNA-seq
SRR21314203,Marchantia polymorpha,RNA-seq
SRR21314204,Marchantia polymorpha,RNA-seq
SRR21314207,Marchantia polymorpha,RNA-seq
SRR21314213,Marchantia polymorpha,RNA-seq
SRR21314214,Marchantia polymorpha,RNA-seq
SRR21314216,Marchantia polymorpha,RNA-seq
SRR21314217,Marchantia polymorpha,RNA-seq
SRR21314219,Marchantia polymorpha,RNA-seq
SRR21314220,Marchantia polymorpha,RNA-seq
SRR21314222,Marchantia polymorpha,RNA-seq
SRR21314228,Marchantia polymorpha,RNA-seq
SRR21314229,Marchantia polymorpha,RNA-seq
SRR21314230,Marchantia polymorpha,RNA-seq
SRR21314232,Marchantia polymorpha,RNA-seq
SRR21314233,Marchantia polymorpha,RNA-seq
SRR21314235,Marchantia polymorpha,RNA-seq
SRR21314236,Marchantia polymorpha,RNA-seq
SRR21314238,Marchantia polymorpha,RNA-seq
SRR21314240,Marchantia polymorpha,RNA-seq
SRR21314242,Marchantia polymorpha,RNA-seq
SRR21314243,Marchantia polymorpha,RNA-seq
SRR21314244,Marchantia polymorpha,RNA-seq
SRR21314245,Marchantia polymorpha,RNA-seq
SRR21314246,Marchantia polymorpha,RNA-seq
SRR21314251,Marchantia polymorpha,RNA-seq
SRR21314255,Marchantia polymorpha,RNA-seq
SRR21314259,Marchantia polymorpha,RNA-seq
SRR21314260,Marchantia polymorpha,RNA-seq
SRR21314261,Marchantia polymorpha,RNA-seq
SRR21314263,Marchantia polymorpha,RNA-seq
SRR21314268,Marchantia polymorpha,RNA-seq
SRR21314270,Marchantia polymorpha,RNA-seq
SRR21314271,Marchantia polymorpha,RNA-seq
SRR21314272,Marchantia polymorpha,RNA-seq
SRR21314273,Marchantia polymorpha,RNA-seq
SRR21314274,Marchantia polymorpha,RNA-seq
SRR21314275,Marchantia polymorpha,RNA-seq
SRR21314277,Marchantia polymorpha,RNA-seq
SRR21314282,Marchantia polymorpha,RNA-seq
SRR21314283,Marchantia polymorpha,RNA-seq
SRR21314284,Marchantia polymorpha,RNA-seq
SRR21314287,Marchantia polymorpha,RNA-seq
SRR21314289,Marchantia polymorpha,RNA-seq
SRR21314290,Marchantia polymorpha,RNA-seq
SRR21314291,Marchantia polymorpha,RNA-seq
SRR21314292,Marchantia polymorpha,RNA-seq
SRR21314293,Marchantia polymorpha,RNA-seq
SRR21314303,Marchantia polymorpha,RNA-seq
SRR21314304,Marchantia polymorpha,RNA-seq
SRR21314305,Marchantia polymorpha,RNA-seq
SRR21314309,Marchantia polymorpha,RNA-seq
SRR21314310,Marchantia polymorpha,RNA-seq
SRR21314311,Marchantia polymorpha,RNA-seq
SRR21314312,Marchantia polymorpha,RNA-seq
SRR21314313,Marchantia polymorpha,RNA-seq
SRR21314316,Marchantia polymorpha,RNA-seq
SRR21314317,Marchantia polymorpha,RNA-seq
SRR21314323,Marchantia polymorpha,RNA-seq
SRR21314324,Marchantia polymorpha,RNA-seq
SRR21314328,Marchantia polymorpha,RNA-seq
SRR21314331,Marchantia polymorpha,RNA-seq
SRR21314336,Marchantia polymorpha,RNA-seq
SRR21314337,Marchantia polymorpha,RNA-seq
SRR21314338,Marchantia polymorpha,RNA-seq
SRR21314339,Marchantia polymorpha,RNA-seq
SRR21314342,Marchantia polymorpha,RNA-seq
SRR21314343,Marchantia polymorpha,RNA-seq
SRR21314344,Marchantia polymorpha,RNA-seq
SRR21314345,Marchantia polymorpha,RNA-seq
SRR21314347,Marchantia polymorpha,RNA-seq
SRR21314354,Marchantia polymorpha,RNA-seq
SRR21314355,Marchantia polymorpha,RNA-seq
SRR21314357,Marchantia polymorpha,RNA-seq
SRR21314359,Marchantia polymorpha,RNA-seq
SRR21314360,Marchantia polymorpha,RNA-seq
SRR21314363,Marchantia polymorpha,RNA-seq
SRR21314365,Marchantia polymorpha,RNA-seq
SRR21314366,Marchantia polymorpha,RNA-seq
SRR21314367,Marchantia polymorpha,RNA-seq
SRR21314375,Marchantia polymorpha,RNA-seq
SRR21314376,Marchantia polymorpha,RNA-seq
SRR21314379,Marchantia polymorpha,RNA-seq
SRR21314384,Marchantia polymorpha,RNA-seq
SRR21314385,Marchantia polymorpha,RNA-seq
SRR21314386,Marchantia polymorpha,RNA-seq
SRR21314387,Marchantia polymorpha,RNA-seq
SRR21314388,Marchantia polymorpha,RNA-seq
SRR21314389,Marchantia polymorpha,RNA-seq
SRR21314391,Marchantia polymorpha,RNA-seq
SRR21314392,Marchantia polymorpha,RNA-seq
SRR21314393,Marchantia polymorpha,RNA-seq
SRR21314394,Marchantia polymorpha,RNA-seq
SRR21314398,Marchantia polymorpha,RNA-seq
SRR21314399,Marchantia polymorpha,RNA-seq
SRR21314402,Marchantia polymorpha,RNA-seq
SRR21314403,Marchantia polymorpha,RNA-seq
SRR21314404,Marchantia polymorpha,RNA-seq
SRR21314405,Marchantia polymorpha,RNA-seq
SRR21314406,Marchantia polymorpha,RNA-seq
SRR21314407,Marchantia polymorpha,RNA-seq
SRR21314408,Marchantia polymorpha,RNA-seq
SRR21314409,Marchantia polymorpha,RNA-seq
SRR21314411,Marchantia polymorpha,RNA-seq
SRR21314412,Marchantia polymorpha,RNA-seq
SRR21314419,Marchantia polymorpha,RNA-seq
SRR21314422,Marchantia polymorpha,RNA-seq
SRR21314427,Marchantia polymorpha,RNA-seq
SRR21314430,Marchantia polymorpha,RNA-seq
SRR21314431,Marchantia polymorpha,RNA-seq
SRR21314432,Marchantia polymorpha,RNA-seq
SRR21314433,Marchantia polymorpha,RNA-seq
SRR21314436,Marchantia polymorpha,RNA-seq
SRR21609262,Marchantia polymorpha,RNA-seq
SRR21609265,Marchantia polymorpha,RNA-seq
SRR21609267,Marchantia polymorpha,RNA-seq
SRR21609268,Marchantia polymorpha,RNA-seq
SRR21609269,Marchantia polymorpha,RNA-seq
SRR21609271,Marchantia polymorpha,RNA-seq
SRR21609272,Marchantia polymorpha,RNA-seq
SRR21615973,Marchantia polymorpha,RNA-seq
SRR21615974,Marchantia polymorpha,RNA-seq
SRR21615975,Marchantia polymorpha,RNA-seq
SRR2179938,Marchantia polymorpha,RNA-seq
SRR22873788,Marchantia polymorpha,RNA-seq
SRR22873791,Marchantia polymorpha,RNA-seq
SRR22873792,Marchantia polymorpha,RNA-seq
SRR22873793,Marchantia polymorpha,RNA-seq
SRR22873798,Marchantia polymorpha,RNA-seq
SRR22873802,Marchantia polymorpha,RNA-seq
SRR22873803,Marchantia polymorpha,RNA-seq
SRR22873804,Marchantia polymorpha,RNA-seq
SRR22873805,Marchantia polymorpha,RNA-seq
SRR22953161,Marchantia polymorpha,RNA-seq
SRR22953163,Marchantia polymorpha,RNA-seq
SRR22953166,Marchantia polymorpha,RNA-seq
SRR22953170,Marchantia polymorpha,RNA-seq
SRR22953171,Marchantia polymorpha,RNA-seq
SRR22953173,Marchantia polymorpha,RNA-seq
SRR22953177,Marchantia polymorpha,RNA-seq
SRR22953179,Marchantia polymorpha,RNA-seq
SRR22953180,Marchantia polymorpha,RNA-seq
SRR22953181,Marchantia polymorpha,RNA-seq
SRR22953182,Marchantia polymorpha,RNA-seq
SRR22953183,Marchantia polymorpha,RNA-seq
SRR22953184,Marchantia polymorpha,RNA-seq
SRR22953185,Marchantia polymorpha,RNA-seq
SRR22953187,Marchantia polymorpha,RNA-seq
SRR22953188,Marchantia polymorpha,RNA-seq
SRR22953190,Marchantia polymorpha,RNA-seq
SRR22953196,Marchantia polymorpha,RNA-seq
SRR22953199,Marchantia polymorpha,RNA-seq
SRR22953200,Marchantia polymorpha,RNA-seq
SRR22953203,Marchantia polymorpha,RNA-seq
SRR22953204,Marchantia polymorpha,RNA-seq
SRR22953205,Marchantia polymorpha,RNA-seq
SRR23690476,Marchantia polymorpha,RNA-seq
SRR23690477,Marchantia polymorpha,RNA-seq
SRR23690479,Marchantia polymorpha,RNA-seq
SRR24878590,Marchantia polymorpha,RNA-seq
SRR24878591,Marchantia polymorpha,RNA-seq
SRR24878593,Marchantia polymorpha,RNA-seq
SRR25233583,Marchantia polymorpha,RNA-seq
SRR25409403,Marchantia polymorpha,RNA-seq
SRR25409406,Marchantia polymorpha,RNA-seq
SRR25409407,Marchantia polymorpha,RNA-seq
SRR25409408,Marchantia polymorpha,RNA-seq
SRR25409409,Marchantia polymorpha,RNA-seq
SRR25409416,Marchantia polymorpha,RNA-seq
SRR25434672,Marchantia polymorpha,RNA-seq
SRR25434673,Marchantia polymorpha,RNA-seq
SRR25434674,Marchantia polymorpha,RNA-seq
SRR25434675,Marchantia polymorpha,RNA-seq
SRR25434676,Marchantia polymorpha,RNA-seq
SRR25434678,Marchantia polymorpha,RNA-seq
SRR25434679,Marchantia polymorpha,RNA-seq
SRR25434681,Marchantia polymorpha,RNA-seq
SRR25434682,Marchantia polymorpha,RNA-seq
SRR25434683,Marchantia polymorpha,RNA-seq
SRR25434684,Marchantia polymorpha,RNA-seq
SRR25434685,Marchantia polymorpha,RNA-seq
SRR25434686,Marchantia polymorpha,RNA-seq
SRR25434688,Marchantia polymorpha,RNA-seq
SRR25434689,Marchantia polymorpha,RNA-seq
SRR25434690,Marchantia polymorpha,RNA-seq
SRR25434691,Marchantia polymorpha,RNA-seq
SRR25739604,Marchantia polymorpha,RNA-seq
SRR25739605,Marchantia polymorpha,RNA-seq
SRR25739606,Marchantia polymorpha,RNA-seq
SRR25779331,Marchantia polymorpha,RNA-seq
SRR25779332,Marchantia polymorpha,RNA-seq
SRR25779334,Marchantia polymorpha,RNA-seq
SRR25779335,Marchantia polymorpha,RNA-seq
SRR25779336,Marchantia polymorpha,RNA-seq
SRR25779338,Marchantia polymorpha,RNA-seq
SRR25995557,Marchantia polymorpha,RNA-seq
SRR25995558,Marchantia polymorpha,RNA-seq
SRR26142697,Marchantia polymorpha,RNA-seq
SRR26142698,Marchantia polymorpha,RNA-seq
SRR26142699,Marchantia polymorpha,RNA-seq
SRR26142700,Marchantia polymorpha,RNA-seq
SRR26142701,Marchantia polymorpha,RNA-seq
SRR26284166,Marchantia polymorpha,RNA-seq
SRR26284172,Marchantia polymorpha,RNA-seq
SRR26284173,Marchantia polymorpha,RNA-seq
SRR26796480,Marchantia polymorpha,RNA-seq
SRR26796481,Marchantia polymorpha,RNA-seq
SRR26796765,Marchantia polymorpha,RNA-seq
SRR26798020,Marchantia polymorpha,RNA-seq
SRR26798555,Marchantia polymorpha,RNA-seq
SRR26801907,Marchantia polymorpha,RNA-seq
SRR26802390,Marchantia polymorpha,RNA-seq
SRR26803502,Marchantia polymorpha,RNA-seq
SRR26803504,Marchantia polymorpha,RNA-seq
SRR26819938,Marchantia polymorpha,RNA-seq
SRR26821756,Marchantia polymorpha,RNA-seq
SRR26828330,Marchantia polymorpha,RNA-seq
SRR26828331,Marchantia polymorpha,RNA-seq
SRR26937560,Marchantia polymorpha,RNA-seq
SRR26937565,Marchantia polymorpha,RNA-seq
SRR26937566,Marchantia polymorpha,RNA-seq
SRR26937567,Marchantia polymorpha,RNA-seq
SRR26937568,Marchantia polymorpha,RNA-seq
SRR26937569,Marchantia polymorpha,RNA-seq
SRR26982123,Marchantia polymorpha,RNA-seq
SRR26982124,Marchantia polymorpha,RNA-seq
SRR26982127,Marchantia polymorpha,RNA-seq
SRR26982128,Marchantia polymorpha,RNA-seq
SRR26982133,Marchantia polymorpha,RNA-seq
SRR26982134,Marchantia polymorpha,RNA-seq
SRR26982136,Marchantia polymorpha,RNA-seq
SRR26982137,Marchantia polymorpha,RNA-seq
SRR26982138,Marchantia polymorpha,RNA-seq
SRR26982140,Marchantia polymorpha,RNA-seq
SRR26982141,Marchantia polymorpha,RNA-seq
SRR26982142,Marchantia polymorpha,RNA-seq
SRR26982143,Marchantia polymorpha,RNA-seq
SRR26982147,Marchantia polymorpha,RNA-seq
SRR26982148,Marchantia polymorpha,RNA-seq
SRR26982149,Marchantia polymorpha,RNA-seq
SRR26982150,Marchantia polymorpha,RNA-seq
SRR26982151,Marchantia polymorpha,RNA-seq
SRR26982152,Marchantia polymorpha,RNA-seq
SRR26982153,Marchantia polymorpha,RNA-seq
SRR26982154,Marchantia polymorpha,RNA-seq
SRR26982155,Marchantia polymorpha,RNA-seq
SRR26982158,Marchantia polymorpha,RNA-seq
SRR26982162,Marchantia polymorpha,RNA-seq
SRR26982163,Marchantia polymorpha,RNA-seq
SRR26982164,Marchantia polymorpha,RNA-seq
SRR26982205,Marchantia polymorpha,RNA-seq
SRR26982209,Marchantia polymorpha,RNA-seq
SRR26982216,Marchantia polymorpha,RNA-seq
SRR26982217,Marchantia polymorpha,RNA-seq
SRR26982223,Marchantia polymorpha,RNA-seq
SRR26982224,Marchantia polymorpha,RNA-seq
SRR26982231,Marchantia polymorpha,RNA-seq
SRR26982232,Marchantia polymorpha,RNA-seq
SRR26982233,Marchantia polymorpha,RNA-seq
SRR26982234,Marchantia polymorpha,RNA-seq
SRR26982235,Marchantia polymorpha,RNA-seq
SRR26982239,Marchantia polymorpha,RNA-seq
SRR26982242,Marchantia polymorpha,RNA-seq
SRR26982243,Marchantia polymorpha,RNA-seq
SRR27228259,Marchantia polymorpha,RNA-seq
SRR27228261,Marchantia polymorpha,RNA-seq
SRR27228264,Marchantia polymorpha,RNA-seq
SRR27228268,Marchantia polymorpha,RNA-seq
SRR27228271,Marchantia polymorpha,RNA-seq
SRR27228272,Marchantia polymorpha,RNA-seq
SRR27277544,Marchantia polymorpha,RNA-seq
SRR27277546,Marchantia polymorpha,RNA-seq
SRR27277547,Marchantia polymorpha,RNA-seq
SRR27277550,Marchantia polymorpha,RNA-seq
SRR27277551,Marchantia polymorpha,RNA-seq
SRR27277552,Marchantia polymorpha,RNA-seq
SRR27277553,Marchantia polymorpha,RNA-seq
SRR27277554,Marchantia polymorpha,RNA-seq
SRR27277556,Marchantia polymorpha,RNA-seq
SRR27277557,Marchantia polymorpha,RNA-seq
SRR27308673,Marchantia polymorpha,RNA-seq
SRR27308674,Marchantia polymorpha,RNA-seq
SRR27308677,Marchantia polymorpha,RNA-seq
SRR27308678,Marchantia polymorpha,RNA-seq
SRR27308679,Marchantia polymorpha,RNA-seq
SRR27308680,Marchantia polymorpha,RNA-seq
SRR27308683,Marchantia polymorpha,RNA-seq
SRR27308684,Marchantia polymorpha,RNA-seq
SRR27308690,Marchantia polymorpha,RNA-seq
SRR27308696,Marchantia polymorpha,RNA-seq
SRR27308697,Marchantia polymorpha,RNA-seq
SRR27308700,Marchantia polymorpha,RNA-seq
SRR27308703,Marchantia polymorpha,RNA-seq
SRR27308706,Marchantia polymorpha,RNA-seq
SRR27308713,Marchantia polymorpha,RNA-seq
SRR27308714,Marchantia polymorpha,RNA-seq
SRR27308719,Marchantia polymorpha,RNA-seq
SRR27308720,Marchantia polymorpha,RNA-seq
SRR27308721,Marchantia polymorpha,RNA-seq
SRR27308722,Marchantia polymorpha,RNA-seq
SRR27308726,Marchantia polymorpha,RNA-seq
SRR27873251,Marchantia polymorpha,RNA-seq
SRR27873252,Marchantia polymorpha,RNA-seq
SRR27884946,Marchantia polymorpha,RNA-seq
SRR27884947,Marchantia polymorpha,RNA-seq
SRR27885042,Marchantia polymorpha,RNA-seq
SRR27885043,Marchantia polymorpha,RNA-seq
SRR27885424,Marchantia polymorpha,RNA-seq
SRR27885425,Marchantia polymorpha,RNA-seq
SRR27885440,Marchantia polymorpha,RNA-seq
SRR27885843,Marchantia polymorpha,RNA-seq
SRR27885844,Marchantia polymorpha,RNA-seq
SRR27885845,Marchantia polymorpha,RNA-seq
SRR27887121,Marchantia polymorpha,RNA-seq
SRR27896851,Marchantia polymorpha,RNA-seq
SRR27896880,Marchantia polymorpha,RNA-seq
SRR27896881,Marchantia polymorpha,RNA-seq
SRR27896961,Marchantia polymorpha,RNA-seq
SRR27896962,Marchantia polymorpha,RNA-seq
SRR27896963,Marchantia polymorpha,RNA-seq
SRR27897003,Marchantia polymorpha,RNA-seq
SRR27897004,Marchantia polymorpha,RNA-seq
SRR27897031,Marchantia polymorpha,RNA-seq
SRR27897032,Marchantia polymorpha,RNA-seq
SRR28370083,Marchantia polymorpha,RNA-seq
SRR28370084,Marchantia polymorpha,RNA-seq
SRR28370094,Marchantia polymorpha,RNA-seq
SRR28373640,Marchantia polymorpha,RNA-seq
SRR28373641,Marchantia polymorpha,RNA-seq
SRR29369887,Marchantia polymorpha,RNA-seq
SRR29369890,Marchantia polymorpha,RNA-seq
SRR29369891,Marchantia polymorpha,RNA-seq
SRR29369892,Marchantia polymorpha,RNA-seq
SRR29369896,Marchantia polymorpha,RNA-seq
SRR29369897,Marchantia polymorpha,RNA-seq
SRR29369898,Marchantia polymorpha,RNA-seq
SRR29470861,Marchantia polymorpha,RNA-seq
SRR29470862,Marchantia polymorpha,RNA-seq
SRR29470884,Marchantia polymorpha,RNA-seq
SRR29470893,Marchantia polymorpha,RNA-seq
SRR30294802,Marchantia polymorpha,RNA-seq
SRR30294803,Marchantia polymorpha,RNA-seq
SRR30294804,Marchantia polymorpha,RNA-seq
SRR30294809,Marchantia polymorpha,RNA-seq
SRR30350826,Marchantia polymorpha,RNA-seq
SRR30350827,Marchantia polymorpha,RNA-seq
SRR30350831,Marchantia polymorpha,RNA-seq
SRR30350832,Marchantia polymorpha,RNA-seq
SRR30350833,Marchantia polymorpha,RNA-seq
SRR30350834,Marchantia polymorpha,RNA-seq
SRR30350835,Marchantia polymorpha,RNA-seq
SRR30350836,Marchantia polymorpha,RNA-seq
SRR30944257,Marchantia polymorpha,RNA-seq
SRR30944258,Marchantia polymorpha,RNA-seq
SRR30944259,Marchantia polymorpha,RNA-seq
SRR30944261,Marchantia polymorpha,RNA-seq
SRR30944265,Marchantia polymorpha,RNA-seq
SRR30944267,Marchantia polymorpha,RNA-seq
SRR30944268,Marchantia polymorpha,RNA-seq
SRR30944272,Marchantia polymorpha,RNA-seq
SRR30944279,Marchantia polymorpha,RNA-seq
SRR30944281,Marchantia polymorpha,RNA-seq
SRR30944282,Marchantia polymorpha,RNA-seq
SRR30944284,Marchantia polymorpha,RNA-seq
SRR30944285,Marchantia polymorpha,RNA-seq
SRR31229323,Marchantia polymorpha,RNA-seq
SRR31229327,Marchantia polymorpha,RNA-seq
SRR31229328,Marchantia polymorpha,RNA-seq
SRR31229329,Marchantia polymorpha,RNA-seq
SRR31401265,Marchantia polymorpha,RNA-seq
SRR31401267,Marchantia polymorpha,RNA-seq
SRR31401268,Marchantia polymorpha,RNA-seq
SRR31401273,Marchantia polymorpha,RNA-seq
SRR31401274,Marchantia polymorpha,RNA-seq
SRR31401275,Marchantia polymorpha,RNA-seq
SRR31401276,Marchantia polymorpha,RNA-seq
SRR31401277,Marchantia polymorpha,RNA-seq
SRR31401279,Marchantia polymorpha,RNA-seq
SRR31401283,Marchantia polymorpha,RNA-seq
SRR31401284,Marchantia polymorpha,RNA-seq
SRR31401285,Marchantia polymorpha,RNA-seq
SRR31401287,Marchantia polymorpha,RNA-seq
SRR31401288,Marchantia polymorpha,RNA-seq
SRR3168960,Marchantia polymorpha,RNA-seq
SRR32194515,Marchantia polymorpha,RNA-seq
SRR32194521,Marchantia polymorpha,RNA-seq
SRR32194524,Marchantia polymorpha,RNA-seq
SRR32194525,Marchantia polymorpha,RNA-seq
SRR32194526,Marchantia polymorpha,RNA-seq
SRR32194532,Marchantia polymorpha,RNA-seq
SRR32194533,Marchantia polymorpha,RNA-seq
SRR32194535,Marchantia polymorpha,RNA-seq
SRR32194537,Marchantia polymorpha,RNA-seq
SRR3490071,Marchantia polymorpha,RNA-seq
SRR4450254,Marchantia polymorpha,RNA-seq
SRR4450259,Marchantia polymorpha,RNA-seq
SRR4450260,Marchantia polymorpha,RNA-seq
SRR4450265,Marchantia polymorpha,RNA-seq
SRR4450266,Marchantia polymorpha,RNA-seq
SRR4450267,Marchantia polymorpha,RNA-seq
SRR4450268,Marchantia polymorpha,RNA-seq
SRR5905092,Marchantia polymorpha,RNA-seq
SRR5905097,Marchantia polymorpha,RNA-seq
SRR5905098,Marchantia polymorpha,RNA-seq
SRR5905099,Marchantia polymorpha,RNA-seq
SRR6685777,Marchantia polymorpha,RNA-seq
SRR6685778,Marchantia polymorpha,RNA-seq
SRR6685779,Marchantia polymorpha,RNA-seq
SRR6685780,Marchantia polymorpha,RNA-seq
SRR6685781,Marchantia polymorpha,RNA-seq
SRR6685783,Marchantia polymorpha,RNA-seq
SRR6685785,Marchantia polymorpha,RNA-seq
SRR7772756,Marchantia polymorpha,RNA-seq
SRR7772757,Marchantia polymorpha,RNA-seq
SRR7772758,Marchantia polymorpha,RNA-seq
SRR7772759,Marchantia polymorpha,RNA-seq
SRR7772760,Marchantia polymorpha,RNA-seq
SRR7772761,Marchantia polymorpha,RNA-seq
SRR7772762,Marchantia polymorpha,RNA-seq
SRR7772763,Marchantia polymorpha,RNA-seq
SRR7772767,Marchantia polymorpha,RNA-seq
SRR7772778,Marchantia polymorpha,RNA-seq
SRR7772782,Marchantia polymorpha,RNA-seq
SRR7772788,Marchantia polymorpha,RNA-seq
