SRA Accession,species,Data type
SRR6453576,Brassica napus,RNA-seq
SRR6453604,Brassica napus,RNA-seq
SRR6453633,Brassica napus,RNA-seq
SRR6453651,Brassica napus,RNA-seq
SRR6453652,Brassica napus,RNA-seq
SRR6453656,Brassica napus,RNA-seq
SRR6453676,Brassica napus,RNA-seq
SRR6453677,Brassica napus,RNA-seq
SRR6453678,Brassica napus,RNA-seq
SRR6453679,Brassica napus,RNA-seq
SRR6453700,Brassica napus,RNA-seq
SRR6453737,Brassica napus,RNA-seq
SRR6453740,Brassica napus,RNA-seq
SRR6453758,Brassica napus,RNA-seq
SRR6453768,Brassica napus,RNA-seq
SRR6453797,Brassica napus,RNA-seq
SRR6453820,Brassica napus,RNA-seq
SRR6453841,Brassica napus,RNA-seq
SRR6453842,Brassica napus,RNA-seq
SRR6453843,Brassica napus,RNA-seq
SRR6453844,Brassica napus,RNA-seq
SRR6453845,Brassica napus,RNA-seq
SRR6453877,Brassica napus,RNA-seq
SRR6453878,Brassica napus,RNA-seq
SRR6453881,Brassica napus,RNA-seq
SRR6453882,Brassica napus,RNA-seq
SRR6453901,Brassica napus,RNA-seq
SRR6453946,Brassica napus,RNA-seq
SRR6453950,Brassica napus,RNA-seq
SRR6453953,Brassica napus,RNA-seq
SRR6453957,Brassica napus,RNA-seq
SRR6453979,Brassica napus,RNA-seq
SRR6453984,Brassica napus,RNA-seq
SRR6453987,Brassica napus,RNA-seq
SRR6454016,Brassica napus,RNA-seq
SRR6454029,Brassica napus,RNA-seq
SRR6454054,Brassica napus,RNA-seq
SRR6454068,Brassica napus,RNA-seq
SRR6454071,Brassica napus,RNA-seq
SRR6454086,Brassica napus,RNA-seq
SRR6454087,Brassica napus,RNA-seq
SRR6454100,Brassica napus,RNA-seq
SRR6454152,Brassica napus,RNA-seq
SRR6454154,Brassica napus,RNA-seq
SRR6454156,Brassica napus,RNA-seq
SRR8770989,Brassica napus,RNA-seq
SRR8770990,Brassica napus,RNA-seq
SRR8770992,Brassica napus,RNA-seq
SRR9599637,Brassica napus,RNA-seq
SRR9599638,Brassica napus,RNA-seq
SRR9599649,Brassica napus,RNA-seq
SRR9599650,Brassica napus,RNA-seq
SRR096495,Chlamydomonas reinhardtii,RNA-seq
SRR096504,Chlamydomonas reinhardtii,RNA-seq
SRR096517,Chlamydomonas reinhardtii,RNA-seq
SRR096518,Chlamydomonas reinhardtii,RNA-seq
SRR096519,Chlamydomonas reinhardtii,RNA-seq
